S.no,Description,Question,Answer
3669,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3670,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3671,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3672,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3673,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3674,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3675,"Imran Tahir of CSK celebrates wicket of Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Robin Uthappa,Imran Tahir
3676,"Imran Tahir of CSK celebrates wicket of Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Nitish Rana of KKR,Imran Tahir
3677,"Imran Tahir of CSK celebrates wicket of Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Nitish Rana of KKR,Imran Tahir
3678,"Ravindra Jadeja of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Ravindra Jadeja
3679,"Imran Tahir of CSK celebrates wicket of Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Nitish Rana of KKR,Imran Tahir
3680,"Nitish Rana of KKRdives for the crease during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of KKR dives for the crease,Nitish Rana
3681,"Faf du Plessis of CSK takes the catch to dismiss Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",____________ of CSK takes the catch to dismiss Robin Uthappa,Faf du Plessis
3682,"Faf du Plessis of CSK takes the catch to dismiss Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",____________ of CSK takes the catch to dismiss Robin Uthappa,Faf du Plessis
3683,"CSK management, Sakshi Dhoni during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI","___________ management, Sakshi Dhoni",CSK
3684,"CSK management during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ management,CSK
3685,"Fans during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________,Fans
3686,"Fans during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________,Fans
3687,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3688,"Singer Usha Uthup during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",Identify the singer,Usha Uthup
3689,"Singer Usha Uthup during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",Identify the singer,Usha Uthup
3690,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3691,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3692,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3693,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3694,"Kolkata Knight Riders co-owner SRK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ co-owner SRK,Kolkata Knight Riders
3695,"Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Nitish Rana
3696,"Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Nitish Rana
3697,"Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Nitish Rana
3698,"Ravindra Jadeja of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Ravindra Jadeja
3699,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3700,"Ravindra Jadeja of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Ravindra Jadeja
3701,"Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of KKR,Nitish Rana
3702,"Imran Tahir of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Imran Tahir
3703,"Chris Lynn of KKR celebrates his fifty during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of celebrates his fifty,Chris Lynn
3704,"Chris Lynn of KKR celebrates his fifty during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of celebrates his fifty,Chris Lynn
3705,"Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Sunil Narine
3706,"Ravindra Jadeja of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Ravindra Jadeja
3707,"Mitchell Santner of CSK celebrates wicket of Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Sunil Narine of KKR,Mitchell Santner
3708,"Mitchell Santner of CSK celebrates wicket of Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK celebrates wicket of Sunil Narine of KKR,Mitchell Santner
3709,"Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Sunil Narine
3710,"Mahendra Singh Dhoni captain and Mitchell Santner of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ captain and Mitchell Santner of CSK,Mahendra Singh Dhoni
3711,"Shardul Thakur of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Shardul Thakur
3712,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3713,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3714,"Mitchell Santner of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Mitchell Santner
3715,"Mitchell Santner of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Mitchell Santner
3716,"Mitchell Santner of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Mitchell Santner
3717,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3718,"Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of KKR,Sunil Narine
3719,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3720,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3721,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3722,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3723,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3724,"Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of KKR,Sunil Narine
3725,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3726,"Shardul Thakur of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Shardul Thakur
3727,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3728,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the batsman,Chris Lynn
3729,"Mike Hussy of CSK ringing the opening bell during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ of CSK ringing the opening bell,Mike Hussy
3730,"CSK fielders entering fop during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",Identify the team,CSK
3731,"umpires entering fop during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ entering fop,umpires
3732,"CSK fielders entering fop during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by Saikat Das /SPORTZPICS for BCCI",___________ fielders entering fop,CSK
3733,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3734,"Deepak Chahar of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK,Deepak Chahar
3735,"Chris Lynn of KKR and Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ and Sunil Narine of KKR,Chris Lynn
3736,"MS Dhoni of CSK leads out CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK leads out CSK,MS Dhoni
3737,"Mike Hussey rings the bell during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ rings the bell,Mike Hussey
3738,"Jacques Kallis during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________,Jacques Kallis
3739,"Jacques Kallis during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________,Jacques Kallis
3740,"MS Dhoni of CSK and Dinesh Karthik of KKRat the toss during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK and Dinesh Karthik of KKR at the toss,MS Dhoni
3741,"MS Dhoni of CSK and Dinesh Karthik of KKRat the toss during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK and Dinesh Karthik of KKR at the toss,MS Dhoni
3742,"MS Dhoni of CSK and Dinesh Karthik of KKRat the toss during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK and Dinesh Karthik of KKR at the toss,MS Dhoni
3743,"MS Dhoni of CSK and Dinesh Karthik of KKRat the toss during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK and Dinesh Karthik of KKR at the toss,MS Dhoni
3744,"MS Dhoni of CSK and Dinesh Karthik of KKRat the toss during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",___________ of CSK and Dinesh Karthik of KKR at the toss,MS Dhoni
3745,"Nitish Rana of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Nitish Rana
3746,"Sunil Narine of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of KKR,Sunil Narine
3747,"Faf Du Plessis of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Faf du Plessis
3748,"Mitchell Santner of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Mitchell Santner
3749,"Suresh Raina of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Suresh Raina
3750,"Carlos Brathwaite of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the West Indian.,Carlos Brathwaite
3751,"Chris Lynn of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the player,Chris Lynn
3752,"Imran Tahir of CSK during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",___________ of CSK,Imran Tahir
3753,"Robin Uthappa during match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Prashant Bhoot /SPORTZPICS for BCCI",Identify the player,Robin Uthappa
3754,"Faf du Plessis of CSK chats with Carlos Brathwaite of KKRduring match 29 of the IPLSeason 12, 2019 between the KKR and the CSK held at the Eden Gardens Stadium in Kolkata on the 14th April 2019Photo by: Ron Gaunt /SPORTZPICS for BCCI",____________ of CSK chats with Carlos Brathwaite,Faf du Plessis
3755,"Marcus Stoinis during the press conference after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the person being interviewed,Marcus Stoinis
3756,"RYAN harris during the press conference after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ harris,RYAN
3757,"Virat Kohli of RCB after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the player,Virat Kohli
3758,"Virat Kohli of RCB and AB de Villiers of RCB react after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of RCB and AB de Villiers of RCB react after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Virat Kohli
3759,"Virat Kohli of RCB and AB de Villiers of RCB react after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of RCB and AB de Villiers of RCB react after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Virat Kohli
3760,"Virat Kohli of RCB and Preity Zinta Co-owner KXIP during the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB and Preity Zinta Co-owner KXIP,Virat Kohli
3761,"Virat Kohli of RCB and Preity Zinta Co-owner KXIP during the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB and Preity Zinta Co-owner KXIP,Virat Kohli
3762,"Virat Kohli of RCB and Preity Zinta Co-owner KXIP during the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB and Preity Zinta Co-owner KXIP,Virat Kohli
3763,"Marcus Stoinis of RCB during the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB,Marcus Stoinis
3764,"RCB Officails during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,RCB Officails
3765,"IPL Officails during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,IPL Officails
3766,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3767,"Cheerleaders during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Cheerleaders
3768,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3769,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3770,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3771,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3772,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3773,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3774,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3775,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3776,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3777,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3778,"Cheerleaders during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Cheerleaders
